no,title,local_category,food_category_1st,food_category_2nd,dining_food_cate_1,dining_food_cate_2,information,isParking,isValet,isPet,isPackaging,isReservation,address,telephone,menu1,price1,menu2,price2,menu_URL,diningcode_Star,diningcode_Score,comment,comment_weight,rank_score,mon_business,mon_breaktime,tues_business,tues_breaktime,wed_business,wed_breaktime,thurs_business,thurs_breaktime,fri_business,fri_breaktime,sat_business,sat_breaktime,sun_business,sun_breaktime,latitude,longitude,img_file1,img_file2,closest_parking_name,closest_parking_address,closest_parking_latitude,closest_parking_longitude
286,멜드,성수,양식,파스타,생면파스타,비스트로,"다이닝, 점심식사, 저녁식사, 저녁, 콜키지",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 656-377,02-6954-7979,바쿠탄,"22,000원",살치살타르타르,"22,000원",https://www.diningcode.com/profile.php?rid=5BZFcSGhdd3V,4.5,77,2,0.5,173.25, 11:30 - 23:00, 14:00 - 17:00, 11:30 - 23:00, 14:00 - 17:00, 11:30 - 23:00, 14:00 - 17:00,휴무일,,휴무일,,휴무일,,휴무일,,37.5483262,127.0466457,C:\projects\blackmamba\media\286_01.jpg,C:\projects\blackmamba\media\286_02.jpg,성수1가2동평면 공영주차장,서울 성동구 성수동1가 13-22,37.55002504,127.0497336
174,핫쵸 성수점,성수,일식,오코노미야끼,오코노미야키,,"캐주얼한, 점심식사, 저녁식사, 저녁, 점심, 바테이블",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-38,0507-1396-1137,핫쵸 히로시마 오코노미야끼,"16,000원",클래식 히로시마 모단야끼,"15,000원",https://www.diningcode.com/profile.php?rid=GcBvX1sHgSgj,4.3,67,11,0.6,172.86, 11:30 - 22:00, 15:30 - 17:00, 11:30 - 22:00, 15:30 - 17:00, 11:30 - 22:00, 15:30 - 17:00, 11:30 - 22:00, 15:30 - 17:00, 11:30 - 22:00, 15:30 - 17:00, 11:30 - 22:00, 15:30 - 17:00, 11:30 - 22:00, 15:30 - 17:00,37.54643779,127.0440939,C:\projects\blackmamba\media\174_01.jpg,C:\projects\blackmamba\media\174_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
22,원할머니보쌈,성수,한식,보쌈,보쌈,보쌈족발,"캐주얼한, 점심식사, 저녁식사, 저녁, 점심, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 333-15,02-2263-3456,부드러운족발(중),"40,000원",매운火보쌈,"35,000원",https://www.diningcode.com/profile.php?rid=JnI0cbO2zciw,5,69,2,0.5,172.5, 11:30 - 23:00,, 11:30 - 23:00,, 11:30 - 23:00,, 11:30 - 23:00,, 11:30 - 23:00,, 11:30 - 23:00,, 11:30 - 23:00,,37.53977658,127.054527,C:\projects\blackmamba\media\22_01.jpg,C:\projects\blackmamba\media\22_02.jpg,뚝도시장 노상공영주차장,서울 성동구 성수동2가 335-166,37.53819962,127.0545791
405,쎄콩데live,서울숲,양식,브런치,브런치,,"예쁜, 점심식사, 저녁식사, 반려동물동반, 할인, 배달",FALSE,FALSE,TRUE,TRUE,FALSE,서울특별시 성동구 성수동1가 668-110 2층,0507-1391-3053,"쎄콩데 브랙퍼스트(Secondaire Breakfast + Secondaire Jam, Compote, Spread, Marmalade, Custard 중 택3)","19,000원",Vanilla Custard (바닐라 커스터드 프렌치토스트),"17,000원",https://www.diningcode.com/profile.php?rid=y3kqLrVfHbnM,5,69,4,0.5,172.5, 11:00 - 19:00,, 11:00 - 19:00,, 11:00 - 19:00,, 11:00 - 19:00,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,,37.54652546,127.0423525,C:\projects\blackmamba\media\405_01.jpg,C:\projects\blackmamba\media\405_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
622,아이에떼 커피 성수점,성수,카페,커피,커피,카페,"가성비좋은, 아침식사, 점심식사, 저녁, 점심, 아침, 테이크아웃",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 656-591 서울숲A타워,0507-2093-4966,[패스오더전용] 100원 아메리카노,100원,[ICE] 유기농 아메리카노,"2,000원",https://www.diningcode.com/profile.php?rid=X59Aw6BpvJvT,5,69,2,0.5,172.5, 07:00 - 20:00,, 07:00 - 20:00,, 07:00 - 20:00,, 07:00 - 20:00,, 07:00 - 20:00,, 10:00 - 18:00,, 10:00 - 18:00,,37.54618129,127.0486507,C:\projects\blackmamba\media\622_01.jpg,C:\projects\blackmamba\media\622_02.jpg,성수1가2동평면 공영주차장,서울 성동구 성수동1가 13-22,37.55002504,127.0497336
840,비트랩,성수,한식,곱창,곱창,소곱창,"힙한분위기, 점심식사, 저녁식사, 저녁, 점심, 콜키지",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 277-101,,모듬구이 대,"108,000원",모듬구이 중,"74,000원",https://www.diningcode.com/profile.php?rid=S3s7io9z0DXQ,5,69,1,0.5,172.5, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00, 12:00 - 22:00, 15:00 - 17:00,휴무일,,37.54465447,127.0613793,C:\projects\blackmamba\media\840_01.jpg,C:\projects\blackmamba\media\840_02.jpg,성수역3번출구앞 노상공영주차장,서울 성동구 성수동2가 276-5,37.54307999,127.0606405
195,메이탄 성수점,서울숲,중식,중식당,유산슬,중식당,"깔끔한, 점심식사, 저녁식사, 칸막이, 예약가능, 무료주차, 배달",TRUE,FALSE,FALSE,TRUE,TRUE,서울 성동구 성수동1가 656-335 메가박스 성수 2층,0507-1335-1081,피넛삼겹살- 시그니처 메뉴,"38,000원",고추잡채밥,"15,000원",https://www.diningcode.com/profile.php?rid=y6CA17s73WcZ,4.2,68,16,0.6,171.36, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,, 11:00 - 21:30,,37.54186741,127.0449777,C:\projects\blackmamba\media\195_01.jpg,C:\projects\blackmamba\media\195_02.jpg,서울숲 공영주차장,서울 성동구 성수동1가 643,37.54179124,127.0426424
1145,엘더버거,성수,양식,햄버거,수제버거,버거,"캐주얼한, 점심식사, 저녁식사, 점심, 테라스, 야외테라스, 셀프바, 주차",TRUE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-124,0507-1375-5619,엘더클래식,"10,900원",엘더클래식세트,"15,900원",https://www.diningcode.com/profile.php?rid=tyBeHbqqvnTP,3.9,73,18,0.6,170.82, 11:30 - 20:30,, 11:30 - 20:30,, 11:30 - 20:30,, 11:30 - 20:30,, 11:30 - 20:30,, 11:30 - 20:30,, 11:30 - 20:30,,37.54627628,127.0430167,C:\projects\blackmamba\media\1145_01.jpg,C:\projects\blackmamba\media\1145_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
67,전주 콩나물국밥,뚝섬역,한식,국밥,콩나물국밥,뚝배기닭볶음탕,"서민적인, 아침식사, 점심식사, 점심, 아침, 좌식",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 14-62,02-498-4840,콩나물국밥,"8,000원",초장오징어,"8,000원",https://www.diningcode.com/profile.php?rid=hfw6lE0N3hmA,4.8,71,6,0.5,170.4,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,37.54624019,127.0497839,C:\projects\blackmamba\media\67_01.jpg,C:\projects\blackmamba\media\67_02.jpg,성수1가2동평면 공영주차장,서울 성동구 성수동1가 13-22,37.55002504,127.0497336
290,오스테리아쟌니,성수,양식,뇨끼,뇨끼,감자뇨끼,"깔끔한, 점심식사, 저녁식사, 저녁, 예약필수, 콜키지, 무료주차",TRUE,FALSE,FALSE,FALSE,TRUE,서울특별시 성동구 성수동2가 275-88,0507-1449-3778,포르치니 트러플 크림 감자 뇨끼,"21,000원",삼치라구 오일 파스타,"23,000원",https://www.diningcode.com/profile.php?rid=YqsVxNtGwjl3,4.1,69,15,0.6,169.74,휴무일,, 12:00 - 21:30, 15:30 - 18:00, 12:00 - 21:30, 15:30 - 18:00, 12:00 - 21:30, 15:30 - 18:00, 12:00 - 21:30, 15:30 - 18:00, 12:00 - 21:30, 15:30 - 18:00,휴무일,,37.54085976,127.061315,C:\projects\blackmamba\media\290_01.jpg,C:\projects\blackmamba\media\290_02.jpg,성수역3번출구앞 노상공영주차장,서울 성동구 성수동2가 276-5,37.54307999,127.0606405
192,플레이버타운,성수,아시안,아시안요리,아시안요리,,"캐주얼한, 저녁식사, 예약필수",FALSE,FALSE,FALSE,FALSE,TRUE,서울특별시 성동구 성수동1가 668-68,02-469-9954,족발튀김,"18,000원",우럭술찜,"43,000원",https://www.diningcode.com/profile.php?rid=Cq8VW8Cf7zVh,4.4,77,9,0.5,169.4,휴무일,, 17:30 - 22:30,, 17:30 - 22:30,, 12:00 - 22:00, 15:30 - 17:30, 17:30 - 22:00,, 12:00 - 22:00, 15:30 - 17:30,휴무일,,37.54695375,127.0429717,C:\projects\blackmamba\media\192_01.jpg,C:\projects\blackmamba\media\192_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
8,성수라,뚝섬역,한식,백반,김치찜,한식,"서민적인, 점심식사, 저녁식사, 저녁, 점심, 주차",TRUE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 656-1839 2층,0507-1312-6769,성수라김치찜(점심1인),"11,000원",파김치마늘보쌈,"29,000원",https://www.diningcode.com/profile.php?rid=57UGS0po8s9H,5,67,4,0.5,167.5, 11:30 - 23:00, 15:00 - 17:30, 11:30 - 23:00, 15:00 - 17:30, 11:30 - 23:00, 15:00 - 17:30, 11:30 - 23:00, 15:00 - 17:30, 11:30 - 23:00, 15:00 - 17:30, 11:30 - 23:00, 15:00 - 17:30,휴무일,,37.54605986,127.0458776,C:\projects\blackmamba\media\8_01.jpg,C:\projects\blackmamba\media\8_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
66,샵아지트,뚝섬역,술집,술집,술집,하이볼,"분위기좋은, 저녁식사, 저녁",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 656-564,010-2358-8743,해물짬뽕수제비탕,"18,000원",순살닭볶음탕,"18,000원",https://www.diningcode.com/profile.php?rid=3qaVvz1P7XFW,5,67,2,0.5,167.5,휴무일,, 17:00 - 01:00,, 17:00 - 01:00,, 17:00 - 01:00,, 17:00 - 01:00,, 17:00 - 01:00,, 17:00 - 01:00,,37.54642788,127.0450532,C:\projects\blackmamba\media\66_01.jpg,C:\projects\blackmamba\media\66_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
236,강호연파 성수 숲속산장점,성수,술집,막걸리,샤브샤브,편백찜,"가성비좋은, 점심식사, 저녁식사, 바테이블",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 301-20,0507-1429-0280,매콤가지 편백찜,"18,000원",피치 SCH,"9,900원",https://www.diningcode.com/profile.php?rid=ZrqAwWSIAaZo,5,67,10,0.5,167.5, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00, 11:00 - 22:00, 15:00 - 17:00,37.54412466,127.0501744,C:\projects\blackmamba\media\236_01.jpg,C:\projects\blackmamba\media\236_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
355,핏자터틀스 성수점,성수,양식,피자,피자,피자집,"매콤, 점심식사, 저녁식사, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 225-8 1층,0507-1372-6463,스리라차마요,"1,000원",터틀스 윙 (8조각),"6,000원",https://www.diningcode.com/profile.php?rid=37BWeDz9BMZ9,5,67,1,0.5,167.5, 11:00 - 23:00,, 11:00 - 23:00,, 11:00 - 23:00,, 11:00 - 23:00,, 11:00 - 23:00,, 11:00 - 23:00,, 11:00 - 23:00,,37.53665699,127.0587787,C:\projects\blackmamba\media\355_01.jpg,C:\projects\blackmamba\media\355_02.jpg,성수2가1동 공영주차장,서울 성동구 성덕정길 115,37.5371748,127.0561628
483,오늘와인한잔 성수가든점,성수,양식,와인바,와인바,,"분위기좋은, 저녁식사, 저녁, 정원, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 316-1,02-587-6660,와인 한 잔,"3,900원",위스키하이볼,"6,900원",https://www.diningcode.com/profile.php?rid=jvMobepdoDfv,5,67,2,0.5,167.5, 14:00 - 01:00,, 14:00 - 01:00,, 14:00 - 01:00,, 14:00 - 01:00,, 14:00 - 02:00,, 14:00 - 02:00,, 14:00 - 01:00,,37.54347081,127.0544402,C:\projects\blackmamba\media\483_01.jpg,C:\projects\blackmamba\media\483_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
488,씩씩 뮤직바,성수동,술집,술집,뮤직바,,"8090, 저녁식사, 저녁, 콜키지, 반려동물동반, 예약가능, 주차",TRUE,FALSE,TRUE,FALSE,TRUE,서울특별시 성동구 성수동1가 656-297 신한빌딩 지1층 101호,0507-1301-7595,블루문 생맥주,"10,000원",키르 로얄,"12,000원",https://www.diningcode.com/profile.php?rid=A3VnSwrdvjzk,5,67,1,0.5,167.5,휴무일,,휴무일,,휴무일,,휴무일,, 19:00 - 01:00,, 19:00 - 01:00,,휴무일,,37.54770786,127.0447614,C:\projects\blackmamba\media\488_01.jpg,C:\projects\blackmamba\media\488_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
642,올드너티,성수,카페,커피,커피,카페,"조용한, 아침식사, 점심식사, 저녁식사, 점심, 반려동물동반, 배달",FALSE,FALSE,TRUE,TRUE,FALSE,서울특별시 성동구 성수동2가 299-50,0507-1405-6622,필터커피,,카페라떼,"5,000원",https://www.diningcode.com/profile.php?rid=aDGqKrgNJ0ci,5,67,3,0.5,167.5, 10:00 - 20:00,, 10:00 - 20:00,, 10:00 - 20:00,, 12:00 - 20:00,, 10:00 - 20:00,, 12:00 - 20:00,, 12:00 - 20:00,,37.54892515,127.054322,C:\projects\blackmamba\media\642_01.jpg,C:\projects\blackmamba\media\642_02.jpg,성수2가3동 공영주차장,서울 성동구 광나루로4가길 23,37.54912396,127.0551771
645,TEESSERT,성수,카페,디저트,디저트,카페,"캐주얼한, 아침식사, 점심식사, 저녁식사, 반려동물동반",FALSE,FALSE,TRUE,FALSE,FALSE,"서울특별시 성동구 성수동2가 273-52 지상동 1층 105호(성수동2가, 더리 브 세종타워)",02-336-9440,멜론소다,"6,500원",블루소다,"6,500원",https://www.diningcode.com/profile.php?rid=oyHQzw4MuVMh,5,67,3,0.5,167.5, 08:00 - 19:00,, 08:00 - 19:00,, 08:00 - 19:00,, 13:00 - 19:00,, 08:00 - 19:00,, 13:00 - 19:00,, 13:00 - 19:00,,37.54340791,127.05823,C:\projects\blackmamba\media\645_01.jpg,C:\projects\blackmamba\media\645_02.jpg,성수역3번출구앞 노상공영주차장,서울 성동구 성수동2가 276-5,37.54307999,127.0606405
1076,더양평해장국,성수동,한식,국밥,해장국,해내탕,"시장, 점심식사, 저녁식사, 저녁, 점심, 배달",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 335-93 1층,0507-1348-3046,해장국,"10,000원",수육반,"25,000원",https://www.diningcode.com/profile.php?rid=9zLKO7LFASwX,5,67,1,0.5,167.5, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,,37.53796183,127.0540214,C:\projects\blackmamba\media\1076_01.jpg,C:\projects\blackmamba\media\1076_02.jpg,뚝도시장 노상공영주차장,서울 성동구 성수동2가 335-166,37.53819962,127.0545791
751,까치화방 성수낙낙점,성수동,카페,케이크,케이크,플라워카페,"예쁜, 아침식사, 점심식사, 저녁식사, 정원, 주차, 배달",TRUE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 280,02-466-1336,체리빙수,"27,000원",마롱팥빙수,"19,000원",https://www.diningcode.com/profile.php?rid=5mzuCXaTdAPk,4.1,68,12,0.6,167.28, 09:00 - 22:00,, 09:00 - 22:00,, 09:00 - 22:00,, 10:00 - 22:00,, 09:00 - 22:00,, 10:00 - 22:00,, 10:00 - 22:00,,37.54667168,127.0661248,C:\projects\blackmamba\media\751_01.jpg,C:\projects\blackmamba\media\751_02.jpg,KT성수분국 노상공영주차장,서울 성동구 성수동2가 280-50,37.54650084,127.0630074
1067,소인수서울,성수,한식,곱창,곱창,,"캐주얼한, 점심식사, 저녁식사, 저녁, 점심, 콜키지, 무료주차, 배달",TRUE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동1가 656-947,02-464-2177,모둠곱창구이(250g),"29,000원",곱창전골(1인분),"22,000원",https://www.diningcode.com/profile.php?rid=KFcUc8Y6seTB,4.1,68,15,0.6,167.28, 11:00 - 22:00, 14:00 - 16:00, 11:00 - 22:00, 14:00 - 16:00, 11:00 - 22:00, 14:00 - 16:00, 11:00 - 22:00, 14:00 - 16:00, 11:00 - 00:00, 14:00 - 16:00, 14:00 - 23:00,, 14:00 - 23:00,,37.54970743,127.0445478,C:\projects\blackmamba\media\1067_01.jpg,C:\projects\blackmamba\media\1067_02.jpg,뚝섬유수지 공영주차장,서울 성동구 성수동1가 685-63,37.54962783,127.0414565
94,죽변항,성수동,한식,회,물회,곰치국,"서민적인, 점심식사, 저녁식사, 저녁, 점심",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 13-157 뚝섬현대아파트,02-465-7487,곰치국,"20,000원",자연산 막회 대,"45,000원",https://www.diningcode.com/profile.php?rid=IRNHnz4T9muC,4.4,76,5,0.5,167.2, 11:00 - 23:00, 15:00 - 16:00, 11:00 - 23:00, 15:00 - 16:00, 11:00 - 23:00, 15:00 - 16:00, 11:00 - 23:00, 15:00 - 16:00, 11:00 - 23:00, 15:00 - 16:00, 11:00 - 22:00,,휴무일,,37.54775642,127.0488546,C:\projects\blackmamba\media\94_01.jpg,C:\projects\blackmamba\media\94_02.jpg,성수1가2동평면 공영주차장,서울 성동구 성수동1가 13-22,37.55002504,127.0497336
19,고흥만,성수동,한식,백반,남도음식,해산물,"서민적인, 점심식사, 저녁, 점심",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 72-15,02-461-7770,백반,"6,000원",김치찌개/ 된장찌개,"7,000원",https://www.diningcode.com/profile.php?rid=tShzOnZzQ7qi,4.5,74,4,0.5,166.5,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,37.54104193,127.049225,C:\projects\blackmamba\media\19_01.jpg,C:\projects\blackmamba\media\19_02.jpg,성수1가 제1동주민센터 주차장,서울 성동구 성수동1가 27-23,37.54205277,127.0496398
139,미쁘동 서울숲,서울숲,한식,백반,연어,연어국수,"깔끔한, 점심식사, 저녁식사, 반려동물동반, 바테이블, 배달",FALSE,FALSE,TRUE,TRUE,FALSE,서울특별시 성동구 성수동1가 685-337,0507-1471-1881,미쁘동,"16,000원",연어소바,"16,000원",https://www.diningcode.com/profile.php?rid=i4NXHMOGou1y,4.2,66,11,0.6,166.32, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,, 11:00 - 22:00,,37.54751913,127.0401618,C:\projects\blackmamba\media\139_01.jpg,C:\projects\blackmamba\media\139_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
689,소프트바,성수,카페,아이스크림,아이스크림,딸기,"캐주얼한, 점심식사, 저녁식사, 연중무휴, 저녁, 점심, 테이크아웃",FALSE,FALSE,FALSE,TRUE,FALSE,서울특별시 성동구 성수동2가 321-91,,말차 & 딥초코,"6,600원",피스타치오,"5,600원",https://www.diningcode.com/profile.php?rid=dbJqWyahbv2Q,4.2,66,13,0.6,166.32, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,, 12:00 - 21:00,,37.54237565,127.0551907,C:\projects\blackmamba\media\689_01.jpg,C:\projects\blackmamba\media\689_02.jpg,뚝도시장 노상공영주차장,서울 성동구 성수동2가 335-166,37.53819962,127.0545791
197,홍보석,성수,중식,짜장면,짜장면,탕수육,"서민적인, 점심식사, 저녁식사, 점심, 포장가능, 주차, 배달",TRUE,FALSE,FALSE,TRUE,FALSE,서울 성동구 성수동1가 35-4,02-3409-3311,짬뽕밥,"6,000원",홍보특밥,"8,000원",https://www.diningcode.com/profile.php?rid=C5NjRWxTWvJ3,4.6,72,6,0.5,165.6, 11:30 - 20:00, 14:30 - 17:00, 11:30 - 20:00, 14:30 - 17:00, 11:30 - 20:00, 14:30 - 17:00, 11:30 - 20:00, 14:30 - 17:00, 11:30 - 20:00, 14:30 - 17:00,휴무일,, 11:30 - 20:00, 14:30 - 17:00,37.53915791,127.049717,C:\projects\blackmamba\media\197_01.jpg,C:\projects\blackmamba\media\197_02.jpg,강변건물공영주차장,서울 성동구 둘레길 47-5,37.53696362,127.0490666
243,라무진,성수,중식,양꼬치,양갈비,양고기,"고급스러운, 저녁식사, 저녁, 바테이블, 무료주차",TRUE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 289-4,02-463-1001,양갈비,"33,000원",프랜치렉,"34,000원",https://www.diningcode.com/profile.php?rid=kXIeChXOylvw,4.6,72,6,0.5,165.6, 17:00 - 22:00,, 17:00 - 22:00,, 17:00 - 22:00,, 17:00 - 22:00,, 17:00 - 22:00,, 16:00 - 22:00,, 16:00 - 21:00,,37.54752177,127.0554388,C:\projects\blackmamba\media\243_01.jpg,C:\projects\blackmamba\media\243_02.jpg,성수2가3동 공영주차장,서울 성동구 광나루로4가길 23,37.54912396,127.0551771
519,팔각도 성수역점,성수역,한식,닭요리,닭갈비,숯불닭갈비,"숯불, 점심식사, 저녁식사, 저녁, 점심, 셀프바",FALSE,FALSE,FALSE,FALSE,FALSE,"서울특별시 성동구 성수동2가 289-13 성수동복합시설 1층 105, 106호",0507-1454-7037,숯불 닭갈비,"12,900원",짬뽕 칼국수,"8,000원",https://www.diningcode.com/profile.php?rid=3kOQC1di1Ui3,4.6,72,3,0.5,165.6, 11:30 - 22:30,, 11:30 - 22:30,, 11:30 - 22:30,, 11:30 - 22:30,, 11:30 - 22:30,, 11:30 - 22:30,, 11:30 - 22:30,,37.54531313,127.0564433,C:\projects\blackmamba\media\519_01.jpg,C:\projects\blackmamba\media\519_02.jpg,성수2가3동 공영주차장,서울 성동구 광나루로4가길 23,37.54912396,127.0551771
820,포맨스,성수동,아시안,쌀국수,쌀국수,분짜,"캐주얼한, 점심식사, 저녁식사, 저녁, 점심",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 668-52,0507-1367-0555,미싸오,"12,000원",직화 쌀국수,"12,000원",https://www.diningcode.com/profile.php?rid=pe2KszhsvJ1h,4,69,20,0.6,165.6, 11:00 - 22:00, 15:30 - 17:00, 11:00 - 22:00, 15:30 - 17:00, 11:00 - 22:00, 15:30 - 17:00, 11:00 - 22:00, 15:30 - 17:00, 11:00 - 22:00, 15:30 - 17:00, 11:00 - 22:00, 15:30 - 17:00, 11:00 - 22:00, 15:30 - 17:00,37.547061,127.0433912,C:\projects\blackmamba\media\820_01.jpg,C:\projects\blackmamba\media\820_02.jpg,쏘카존 뚝섬유수지 공영주차장,서울 성동구 왕십리로11길 19,37.54916264,127.0414721
654,카페 포제,성수,카페,카페,카페,커피,"캐주얼한, 점심식사, 저녁식사, 저녁, 점심, 편한의자",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 315-41,070-8830-5994,Nutty Mocha,"6,500원",Cold Brew Cream Coffee,"6,500원",https://www.diningcode.com/profile.php?rid=A1QDcuG9J7FZ,4.3,64,15,0.6,165.12, 11:30 - 20:00,, 11:30 - 20:00,, 11:30 - 20:00,, 11:30 - 21:00,, 11:30 - 20:00,, 11:30 - 21:00,, 11:30 - 21:00,,37.54295159,127.0557369,C:\projects\blackmamba\media\654_01.jpg,C:\projects\blackmamba\media\654_02.jpg,성수역3번출구앞 노상공영주차장,서울 성동구 성수동2가 276-5,37.54307999,127.0606405
3,원기옥,성수,한식,곰탕,곰탕,한우전골,"고급스러운, 점심식사, 저녁식사, 콜키지프리, 룸식당, 무료주차",TRUE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동2가 280 SKV1 1층 109호,0507-1391-3000,원기옥 보양 전골 (中),"77,000원",특곰탕,"16,000원",https://www.diningcode.com/profile.php?rid=ABMfOrXOiowI,4.4,75,7,0.5,165, 11:30 - 22:00, 15:00 - 17:00, 11:30 - 22:00, 15:00 - 17:00, 11:30 - 22:00, 15:00 - 17:00, 11:30 - 22:00, 15:00 - 17:00, 11:30 - 22:00, 15:00 - 17:00, 11:30 - 22:00, 15:00 - 17:00, 11:30 - 22:00, 15:00 - 17:00,37.54667168,127.0661248,C:\projects\blackmamba\media\3_01.jpg,C:\projects\blackmamba\media\3_02.jpg,KT성수분국 노상공영주차장,서울 성동구 성수동2가 280-50,37.54650084,127.0630074
51,도믹스,성수,양식,와인바,와인바,,"깔끔한, 저녁식사, 저녁, 예약필수",FALSE,FALSE,FALSE,FALSE,TRUE,서울특별시 성동구 성수동1가 355-3,0507-1316-5635,골뱅이튀김과 카펠리니,"23,000원",쌈 샐러드,"7,000원",https://www.diningcode.com/profile.php?rid=88sgWWq4vl3U,5,66,4,0.5,165, 17:00 - 22:00,, 17:00 - 22:00,, 17:00 - 22:00,, 17:00 - 22:00,, 17:00 - 22:00,, 16:00 - 22:00,,휴무일,,37.53670427,127.0498102,C:\projects\blackmamba\media\51_01.jpg,C:\projects\blackmamba\media\51_02.jpg,강변건물공영주차장,서울 성동구 둘레길 47-5,37.53696362,127.0490666
78,종가빈대떡,뚝섬역,술집,막걸리,전집,막걸리,"노포, 저녁",FALSE,FALSE,FALSE,FALSE,FALSE,서울특별시 성동구 성수동1가 8-5,02-461-6696,"녹두(고기,해물)","14,000원",해물파전,"15,000원",https://www.diningcode.com/profile.php?rid=gI4d8WrLzU7J,5,66,1,0.5,165,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,휴무일,,37.54723354,127.0466897,C:\projects\blackmamba\media\78_01.jpg,C:\projects\blackmamba\media\78_02.jpg,성수1가2동평면 공영주차장,서울 성동구 성수동1가 13-22,37.55002504,127.0497336
